0_NAIVE_1	TRA	Poly	5	5	5	0.001425314	0.001425314	0.001425314	TRB	Poly	7	7	6	0.001108823	0.001108823	0.00095042
0_NAIVE_2	TRA	Poly	4	4	4	0.001236094	0.001236094	0.001236094	TRB	Poly	4	4	4	0.00083717	0.00083717	0.00083717
0_NAIVE_3	TRA	Poly	3	3	3	0.00202977	0.00202977	0.00202977	TRB	Poly	4	4	4	0.001684211	0.001684211	0.001684211
0_NAIVE_4	TRA	Poly	5	4	4	0.003787879	0.003030303	0.003030303	TRB	Poly	7	5	5	0.002407981	0.001719986	0.001719986
0_TEFF_1	TRA	Poly	7	7	5	0.002198492	0.002198492	0.001570352	TRB	Poly	14	7	7	0.002262443	0.001131222	0.001131222
0_TEFF_2	TRA	Poly	6	5	5	0.002951303	0.00245942	0.00245942	TRB	Poly	13	9	9	0.003335044	0.002308876	0.002308876
0_TEFF_3	TRA	Poly	4	3	3	0.002166847	0.001625135	0.001625135	TRB	Poly	6	6	5	0.001628664	0.001628664	0.00135722
0_TFH_1	TRA	Poly	13	12	10	0.002764781	0.002552105	0.002126755	TRB	Poly	35	26	23	0.002947865	0.002189842	0.001937168
0_TFH_2	TRA	Poly	14	12	11	0.00296359	0.00254022	0.002328535	TRB	Poly	44	31	29	0.003933137	0.002771074	0.002592295
0_TFH_3	TRA	Poly	23	15	13	0.010727612	0.006996269	0.006063433	TRB	Poly	46	46	39	0.00790378	0.00790378	0.006701031
1_NormalNK.NKCOD12	TRA	Poly	7	5	4	0.1	0.071428571	0.057142857	TRB	Poly	9	6	4	0.25	0.166666667	0.111111111
1_NormalNK.PBNK48h	TRA	Poly	2	1	1	0.4	0.2	0.2	TRB	Clonal	2	0	0	1	0	0
1_NormalNK.RestingNK	TRA	Clonal	1	1	0	0.5	0.5	0	TRB	Clonal	1	1	0	0.5	0.5	0
AITL-5-594-7682	TRA	Clonal	232	26	13	0.635616438	0.071232877	0.035616438	TRB	Clonal	2134	30	12	0.936375603	0.013163668	0.005265467
AITL-6-592-4180	TRA	Clonal	315	23	14	0.334394904	0.024416136	0.014861996	TRB	Clonal	55	24	4	0.146666667	0.064	0.010666667
AITL-6878	TRA	Clonal	88	5	4	0.451282051	0.025641026	0.020512821	TRB	Clonal	133	17	1	0.707446809	0.090425532	0.005319149
AITL-7-592-5182	TRA	Clonal	67	62	7	0.124304267	0.115027829	0.012987013	TRB	Clonal	900	10	3	0.797165633	0.008857396	0.002657219
AITL-CS88-172	TRA	Clonal	109	10	7	0.352750809	0.03236246	0.022653722	TRB	Clonal	81	15	5	0.445054945	0.082417582	0.027472527
AITL-JP116	TRA	Poly	3	3	2	0.019607843	0.019607843	0.013071895	TRB	Poly	16	12	6	0.055555556	0.041666667	0.020833333
AITL-JP188	TRA	Clonal	198	53	9	0.545454545	0.14600551	0.024793388	TRB	Clonal	638	4	4	0.896067416	0.005617978	0.005617978
AITL-JP29	TRA	Clonal	21	2	2	0.724137931	0.068965517	0.068965517	TRB	Clonal	176	4	2	0.902564103	0.020512821	0.01025641
AITL-JP31	TRA	Clonal	200	24	13	0.602409639	0.072289157	0.039156627	TRB	Clonal	141	8	2	0.762162162	0.043243243	0.010810811
AITL-JP87	TRA	Poly	11	4	3	0.024017467	0.008733624	0.006550218	TRB	Poly	4	4	4	0.005108557	0.005108557	0.005108557
AITL-Ly17	TRA	Poly	10	7	4	0.058823529	0.041176471	0.023529412	TRB	Clonal	66	7	5	0.379310345	0.040229885	0.028735632
AITL-Ly19	TRA	Clonal	169	78	4	0.312962963	0.144444444	0.007407407	TRB	Poly	11	5	3	0.025229358	0.01146789	0.006880734
AITL-Ly20	TRA	Poly	32	13	10	0.036240091	0.014722537	0.011325028	TRB	Clonal	322	12	9	0.328236493	0.012232416	0.009174312
AITL-Ly21	TRA	Clonal	117	105	9	0.246315789	0.221052632	0.018947368	TRB	Poly	63	14	11	0.276315789	0.061403509	0.048245614
AITL-Ly23	TRA	Poly	66	60	25	0.184357542	0.167597765	0.069832402	TRB	Clonal	249	8	7	0.6	0.019277108	0.01686747
AITL-Ly24	TRA	Poly	14	5	4	0.057142857	0.020408163	0.016326531	TRB	Poly	33	5	5	0.141025641	0.021367521	0.021367521
AITL-Ly27	TRA	Clonal	172	97	9	0.386516854	0.217977528	0.020224719	TRB	Poly	15	12	8	0.064102564	0.051282051	0.034188034
AITL-S02-9037	TRA	Clonal	650	53	11	0.396825397	0.032356532	0.006715507	TRB	Clonal	1319	159	33	0.54302182	0.065459037	0.013585838
AITL-SC04-1774	TRA	Clonal	3367	240	35	0.71883006	0.051238258	0.007472246	TRB	Clonal	2258	112	19	0.739600393	0.036685228	0.006223387
AITL-SC04-3216	TRA	Clonal	1482	120	47	0.511917098	0.041450777	0.016234888	TRB	Clonal	2117	40	30	0.646017699	0.012206286	0.009154715
AITL.Rab.SRR1213006	TRA	Poly	109	109	55	0.068125	0.068125	0.034375	TRB	Poly	212	137	77	0.100904331	0.065207044	0.036649215
AITL.Rab.SRR1213009	TRA	Clonal	461	446	64	0.156165312	0.151084011	0.021680217	TRB	Clonal	1024	41	31	0.407968127	0.016334661	0.012350598
AITL.Rab.SRR1213010	TRA	Clonal	213	29	13	0.129878049	0.017682927	0.007926829	TRB	Poly	19	14	12	0.016550523	0.012195122	0.010452962
AITL.Rab.SRR1213012	TRA	Poly	112	68	65	0.067348166	0.040889958	0.039085989	TRB	Poly	115	100	96	0.049848288	0.043346337	0.041612484
